Frame,Ball X,Ball Y,Speed,Angle,Min Distance to Player,Closest Player ID,Hit Player ID,Hit Power
1.0,1136.0,356.0,838.525491562421,-63.43494882292201,164.1910162985571,3.0,,
2.0,1151.0,330.0,750.4165509901817,-60.01836063115067,144.519893194946,3.0,,
3.0,1166.0,300.0,838.525491562421,-63.43494882292201,130.09896768854753,3.0,3.0,88.10894057223936
4.0,1176.0,276.0,650.0,-67.38013505195957,300.30488713585646,4.0,,
5.0,1192.0,258.0,602.0797289396148,-48.366460663429805,312.8407317194006,4.0,,
6.0,1203.0,240.0,527.3755777432247,-58.57043438516149,156.5314528116039,3.0,,
7.0,1215.0,225.0,480.23431780746364,-51.34019174590991,165.97777105274326,3.0,,
8.0,1226.0,210.0,465.0268809434569,-53.74616226255522,176.79604038394675,3.0,,
9.0,1236.0,195.0,450.6939094329987,-56.309932474020215,193.84747221204347,3.0,,
10.0,1248.0,187.0,360.5551275463989,-33.690067525979785,199.02875422394416,3.0,,
11.0,1260.0,180.0,347.3110997362451,-30.256437163529263,197.5088849660528,3.0,,
12.0,1267.0,168.0,347.3110997362451,-59.743562836470744,219.71475703577187,3.0,,
13.0,1278.0,161.0,325.96012026013244,-32.47119229084849,225.51714108984373,3.0,,
14.0,1293.0,150.0,465.0268809434569,-36.25383773744479,235.32559288298333,3.0,,
15.0,1305.0,142.0,360.5551275463989,-33.690067525979785,241.5341213910247,3.0,,
16.0,1372.0,135.0,1684.116979309929,-5.96448710125312,248.2652965646253,3.0,,
17.0,1331.0,131.0,1029.866496202299,-174.4278021960362,251.34873226249516,3.0,,
18.0,1353.0,127.0,559.0169943749474,-10.304846468766033,255.4219594833842,3.0,,
19.0,1353.0,120.0,175.0,-90.0,259.65176818109427,3.0,,
20.0,1342.0,120.0,275.0,180.0,255.15229076039856,3.0,,
21.0,1338.0,116.0,141.4213562373095,-135.0,256.09821490506044,3.0,,
22.0,1335.0,116.0,75.0,180.0,239.99255701649207,3.0,,
23.0,1327.0,116.0,200.0,180.0,237.85015276057882,3.0,,
24.0,1320.0,116.0,175.0,180.0,236.91975235540062,3.0,,
25.0,1316.0,120.0,141.4213562373095,135.0,233.14069539898497,3.0,,
26.0,1308.0,123.0,213.60009363293827,159.44395478041653,232.13803751022212,3.0,,
27.0,1301.0,131.0,265.75364531836624,131.18592516570965,225.63110815350035,3.0,,
28.0,1297.0,135.0,141.4213562373095,135.0,219.97468950758267,3.0,,
29.0,1290.0,146.0,325.96012026013244,122.47119229084849,207.6771736165432,3.0,,
30.0,1282.0,153.0,265.75364531836624,138.81407483429035,200.11836320770962,3.0,,
31.0,1278.0,165.0,316.22776601683796,108.43494882292202,190.0728320681186,3.0,,
32.0,1271.0,180.0,413.82363393117123,115.01689347810004,181.22673902899936,3.0,,
33.0,1267.0,195.0,388.1043674065006,104.93141717813755,167.30530648113663,3.0,,
34.0,1260.0,205.0,305.16389039334257,124.99202019855868,162.15989789613275,3.0,,
35.0,1252.0,225.0,538.5164807134504,111.80140948635182,146.64872539698186,3.0,,
36.0,1245.0,240.0,413.82363393117123,115.01689347810004,141.56463991183878,3.0,,
37.0,1241.0,262.0,559.0169943749474,100.30484646876603,132.41608339783662,3.0,,
38.0,1233.0,281.0,515.3882032022076,112.83365417791754,128.52657929882295,3.0,,
39.0,1203.0,307.0,992.4716620639604,139.08561677997488,110.92494410026215,3.0,3.0,477.0834588617528
40.0,1173.0,337.0,1060.6601717798212,135.0,122.39035169463054,4.0,,
41.0,1140.0,367.0,1114.9551560488878,137.72631099390625,95.52884817059955,4.0,,
42.0,1110.0,397.0,1060.6601717798212,135.0,81.97809851322208,4.0,,
43.0,1083.0,423.0,937.0832406995656,136.0809241866607,83.84399252832738,4.0,,
44.0,1042.0,465.0,1467.353059082919,134.30972280213493,105.78833690936793,4.0,,
45.0,1005.0,502.0,1308.147545195113,135.0,137.23480018114498,4.0,,
46.0,967.0,540.0,1343.5028842544402,135.0,176.0465694595014,4.0,,
47.0,930.0,585.0,1456.4511663629507,129.42780219603623,225.50072978808677,4.0,,
48.0,892.0,630.0,1472.4554322627223,130.17923392190735,275.3887622318779,4.0,,
49.0,851.0,678.0,1578.171410208663,130.50284838533224,333.07539517480586,4.0,,
50.0,817.0,712.0,1202.0815280171307,135.0,346.6432328506738,1.0,,
51.0,783.0,720.0,873.2124598286489,166.75948008481282,316.0678849879904,1.0,,
52.0,750.0,727.0,843.3563896716499,168.02386755579664,289.51859766148164,1.0,,
53.0,716.0,738.0,893.3784192602818,162.07208023799276,269.5265778265709,1.0,,
54.0,678.0,753.0,1021.3349107907748,158.45902408146156,247.23171314071075,1.0,,
55.0,645.0,768.0,906.228448019593,155.55604521958347,221.673699375781,1.0,,
56.0,603.0,786.0,1142.3659658795864,156.80140948635182,183.67114573053618,1.0,,
57.0,566.0,810.0,1102.5538535599972,147.0305960965379,156.99929231107248,1.0,,
58.0,532.0,821.0,893.3784192602818,162.07208023799276,135.8536932836173,1.0,,
59.0,521.0,802.0,548.8624600025038,-120.06858282186246,116.80301575315609,1.0,,
60.0,510.0,783.0,548.8624600025038,-120.06858282186246,99.18802684471324,1.0,,
61.0,498.0,768.0,480.23431780746364,-128.6598082540901,87.95405179099474,1.0,,
62.0,487.0,753.0,465.0268809434569,-126.2538377374448,74.8883788506495,1.0,,
63.0,481.0,748.0,195.25624189766634,-140.19442890773482,70.42068274138121,1.0,1.0,269.7706390457905
64.0,483.0,743.0,134.6291201783626,-68.19859051364818,263.249079650876,7.0,,
65.0,482.0,724.0,475.6574397610112,-93.01278750418334,81.66375724621865,1.0,,
66.0,494.0,704.0,583.0951894845301,-59.03624346792648,89.63993420793106,1.0,,
67.0,517.0,662.0,1197.131989381288,-61.29404745659892,297.0862876705098,7.0,,
68.0,566.0,615.0,1697.4245196767956,-43.80651057601796,335.35008784715427,4.0,,
69.0,611.0,573.0,1538.8713396512394,-43.025065989118026,267.23493407017054,4.0,,
70.0,652.0,540.0,1315.7697366940765,-38.829824904970394,288.82344516389674,1.0,,
71.0,675.0,517.0,813.1727983645296,-45.0,330.1746574927745,1.0,,
72.0,727.0,476.0,1655.4833131143305,-38.25442035251718,391.4998072134689,3.0,,
73.0,761.0,453.0,1026.2187875886896,-34.07719528013074,349.956838466935,3.0,,
74.0,787.0,435.0,790.5694150420948,-34.69515353123397,315.5227250984024,3.0,,
75.0,821.0,411.0,1040.4326023342405,-35.21759296819271,274.440880241554,3.0,,
76.0,847.0,397.0,738.24115301167,-28.30075576600638,78.77644268744308,4.0,,
77.0,877.0,382.0,838.525491562421,-26.56505117707799,205.49309359546208,3.0,,
78.0,900.0,367.0,686.4765108872991,-33.11134196037203,174.50701808694186,3.0,,
79.0,922.0,360.0,577.1698190307598,-17.650124219930124,158.5394238412348,4.0,,
80.0,945.0,351.0,617.4544517614235,-21.370622269343183,182.47313742196454,4.0,,
81.0,967.0,345.0,570.087712549569,-15.255118703057777,205.8473041695266,4.0,,
82.0,982.0,345.0,375.0,0.0,65.03356131823823,3.0,,
83.0,986.0,344.0,103.07764064044152,-14.036243467926479,59.68022201178155,3.0,,
84.0,989.0,347.0,106.06601717798212,45.0,54.35784325878037,3.0,,
85.0,989.0,349.0,50.0,90.0,52.49445231455465,3.0,,
86.0,985.0,356.0,201.55644370746373,119.74488129694222,51.64205060068124,3.0,,
87.0,982.0,363.0,190.39432764659773,113.19859051364818,49.6884602010065,3.0,,
88.0,977.0,371.0,235.8495283014151,122.0053832080835,45.24840322737143,3.0,3.0,45.45520065481736
89.0,975.0,382.0,279.5084971874737,100.30484646876603,48.2465278565749,3.0,,
90.0,975.0,397.0,375.0,90.0,62.2226055375438,3.0,,
91.0,975.0,408.0,275.0,90.0,69.81905178448032,3.0,,
